timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2019-08-16,72365.69956000,74047.21884000,68523.00000000,72610.06312000,10296.77000000,10536.03000000,9750.00000000,10331.54000000,51758.14291800,51758.14291800
2019-08-15,70667.66448000,73512.88000000,69654.50800000,72345.74004000,10055.16000000,10460.00000000,9911.00000000,10293.93000000,38174.45112000,38174.45112000
2019-08-14,76558.53408000,76587.48944000,69774.68680000,70634.00036000,10893.36000000,10897.48000000,9928.10000000,10050.37000000,54451.84749900,54451.84749900
2019-08-13,80107.60380000,80513.89248000,75821.22660000,76553.96588000,11398.35000000,11456.16000000,10788.45000000,10892.71000000,33234.72968000,33234.72968000
2019-08-12,81096.65424000,81369.41092000,78961.82896000,80091.65024000,11539.08000000,11577.89000000,11235.32000000,11396.08000000,17568.22707500,17568.22707500
2019-08-11,79481.33872000,81524.80000000,78095.90908000,81173.18916000,11309.24000000,11600.00000000,11112.11000000,11549.97000000,26772.90691000,26772.90691000
2019-08-10,83492.49944000,84230.58000000,79205.56000000,79481.83068000,11879.98000000,11985.00000000,11270.00000000,11309.31000000,42633.08704800,42633.08704800
2019-08-09,84295.02676000,84657.03904000,82227.60000000,83492.56972000,11994.17000000,12045.68000000,11700.00000000,11879.99000000,39427.15258800,39427.15258800
2019-08-08,84160.58112000,84757.68000000,80969.58800000,84334.38356000,11975.04000000,12060.00000000,11521.00000000,11999.77000000,51207.25717400,51207.25717400
2019-08-07,80693.31732000,85328.14276000,79998.59952000,84160.51084000,11481.69000000,12141.17000000,11382.84000000,11975.03000000,69173.39035300,69173.39035300
2019-08-06,83141.24000000,86660.15960000,78901.24760000,80693.31732000,11830.00000000,12330.70000000,11226.70000000,11481.69000000,76705.38987500,76705.38987500
2019-08-05,76815.96972000,83896.89056000,76800.57840000,83132.80640000,10929.99000000,11937.52000000,10927.80000000,11828.80000000,65153.67371300,65153.67371300
2019-08-04,76020.89208000,77589.12000000,74159.45600000,76810.62844000,10816.86000000,11040.00000000,10552.00000000,10929.23000000,39924.74514100,39924.74514100
2019-08-03,73960.91500000,76638.72356000,73779.45204000,76020.89208000,10523.75000000,10904.77000000,10497.93000000,10816.86000000,33802.31882400,33802.31882400
2019-08-02,72915.50000000,74988.76000000,72257.32780000,73960.91500000,10375.00000000,10670.00000000,10281.35000000,10523.75000000,42990.44422100,42990.44422100
2019-08-01,70845.96484000,73568.12008000,69320.39688000,72915.42972000,10080.53000000,10467.86000000,9863.46000000,10374.99000000,41727.63702800,41727.63702800
2019-07-31,67293.10000000,71051.67440000,67152.54000000,70845.96484000,9575.00000000,10109.80000000,9555.00000000,10080.53000000,39515.35456000,39515.35456000
2019-07-30,66829.74396000,68271.95984000,66077.25600000,67287.54788000,9509.07000000,9714.28000000,9402.00000000,9574.21000000,32536.36883400,32536.36883400
2019-07-29,67057.94312000,68375.41200000,66028.06000000,66819.69392000,9541.54000000,9729.00000000,9395.00000000,9507.64000000,29021.93741100,29021.93741100
2019-07-28,66617.84976000,67433.58972000,64411.62000000,67057.94312000,9478.92000000,9594.99000000,9165.00000000,9541.54000000,29401.02293700,29401.02293700
2019-07-27,69043.07200000,71605.90248000,65592.32400000,66600.98256000,9824.00000000,10188.66000000,9333.00000000,9476.52000000,43809.77830100,43809.77830100
2019-07-26,69451.75020000,69506.77944000,67728.83600000,69043.07200000,9882.15000000,9889.98000000,9637.00000000,9824.00000000,27167.46321700,27167.46321700
2019-07-25,68617.17520000,71509.90000000,68312.37084000,69435.72636000,9763.40000000,10175.00000000,9720.03000000,9879.87000000,37873.35472800,37873.35472800
2019-07-24,69329.67384000,69837.23600000,66941.70000000,68616.33184000,9864.78000000,9937.00000000,9525.00000000,9763.28000000,43475.38037700,43475.38037700
2019-07-23,72691.16624000,72697.42116000,69029.01600000,69330.58748000,10343.08000000,10343.97000000,9822.00000000,9864.91000000,47624.37071000,47624.37071000
